DYRK1A_N;ITSN1_N;BDNF_N;NR1_N;NR2A_N;pAKT_N;pBRAF_N;pCAMKII_N;pCREB_N;pELK_N;pERK_N;pJNK_N;PKCA_N;pMEK_N;sex;class
0.5387791;0.6272486;0.2356237;1.5726924;2.2527278;0.1890298;0.1592451;1.5706281;0.162194;1.3777647;0.8183427;0.243586;0.2264819;0.2111472;M;Trisomic-Aprendizaje
0.6104154;0.8520159;0.3851558;2.9518937;6.4651802;0.2121258;0.181124;2.7952046;0.2092242;1.9735797;0.9500611;0.3466707;0.3350641;0.26573;F;Control-Aprendizaje
0.3879955;0.6345327;0.4007324;2.7650056;4.9563764;0.1209998;0.1178156;2.8662633;0.1992517;1.1623945;0.7447859;0.1741761;0.3747811;0.1553097;F;Control-Aprendizaje
0.8143907;1.1241413;0.3885742;2.6321562;4.9720381;0.23394;0.1339038;2.5377847;0.2188743;2.0535133;1.0867784;0.3057732;0.3689285;0.2937206;M;Trisomic-Aprendizaje
0.3581046;0.4632315;0.2933713;1.4658208;2.0398757;0.2102538;0.1732263;1.9298291;0.1830658;1.0908856;0.5173485;0.2897462;0.2418436;0.2421025;M;Trisomic-Aprendizaje
0.5618666;0.6418919;0.3084882;2.157728;4.0206926;0.2164274;0.1737753;1.9408784;0.1680743;1.7280405;0.8222128;0.3173564;0.3277027;0.2369088;M;Control-Aprendizaje
0.2295362;0.3843793;0.3359482;1.8939291;2.6637108;0.2854707;0.2476126;4.3165075;0.2738745;1.4137108;0.3502729;0.3925648;0.3110505;0.3325375;M;Control-No_aprendizaje
0.3998642;0.637814;0.4052953;2.6525798;5.1816022;0.3046504;0.2080788;6.6663272;0.2539036;1.5276646;0.456721;0.3856076;0.4198914;0.3705024;F;Trisomic-No_aprendizaje
0.6037234;0.7232478;0.3311952;2.4336671;3.8973717;0.2728411;0.2076033;3.5265957;0.1958698;1.5907384;0.7160513;0.3211827;0.3726533;0.2970901;M;Control-Aprendizaje
0.5117705;0.6782737;0.3052967;2.2103973;3.0296714;0.293281;0.2398234;3.0004904;0.2143207;1.435998;0.7047572;0.3244237;0.3511525;0.3173124;M;Control-Aprendizaje
0.3815598;0.5477405;0.2922741;1.909621;2.7099125;0.3064869;0.1840379;2.3225219;0.2292274;1.5229592;0.513484;0.3516764;0.2740525;0.3637026;F;Trisomic-Aprendizaje
0.3293606;0.503216;0.3261445;2.4878925;3.9258418;0.2311767;0.195611;5.3373061;0.2105562;1.3558456;0.3357927;0.3231177;0.3567915;0.2869845;F;Trisomic-No_aprendizaje
0.2584241;0.4378009;0.2799595;1.9668102;2.8284773;0.2819863;0.2049658;3.4362807;0.2090195;1.1968584;0.3136559;0.3650874;0.2822397;0.3283506;M;Control-No_aprendizaje
0.5545365;0.7466426;0.2782509;2.1745824;3.6017032;0.200131;0.1444481;1.8850311;0.1717982;1.5189977;0.7674419;0.2446774;0.2625287;0.1957091;F;Trisomic-Aprendizaje
0.3781927;0.5992702;0.3009229;2.434428;4.0294055;0.2816055;0.1944623;5.1343636;0.2431852;1.3427774;0.4185448;0.3869929;0.2959863;0.3101524;M;Trisomic-No_aprendizaje
0.4868667;0.6818125;0.2505913;1.8359268;3.2390141;0.1817503;0.1475165;2.3715922;0.1909623;1.4232541;0.7517739;0.2612971;0.2246981;0.2385161;M;Trisomic-Aprendizaje
0.4320068;0.5388381;0.3585869;2.2081294;2.9525431;0.2855927;0.2068525;5.2340924;0.2672909;1.4017876;0.4692488;0.394552;0.4281762;0.3228346;F;Trisomic-No_aprendizaje
0.5127852;0.7306502;0.3891756;2.5140466;5.0705194;0.2718725;0.1886252;4.5482169;0.2383901;1.6898291;0.8008256;0.3705997;0.4045408;0.3123495;F;Control-Aprendizaje
0.2881766;0.4542735;0.2660969;2.0092593;3.1618234;0.1876068;0.1438746;3.0763533;0.1649573;0.9901709;0.367094;0.264245;0.3115385;0.2123932;M;Control-Aprendizaje
0.3551365;0.5880258;0.3149149;2.5445075;3.9810102;0.2247132;0.1780298;3.3265198;0.2418568;1.2363181;0.3332454;0.31386;0.287617;0.2808915;F;Trisomic-No_aprendizaje
0.3620899;0.5829891;0.2865128;1.8899149;3.1283111;0.2284326;0.1676792;3.7912515;0.1659781;1.4558931;0.4097205;0.2952612;0.2755772;0.2600243;M;Trisomic-No_aprendizaje
0.4017389;0.6595713;0.3218408;2.1839304;3.4117823;0.2365462;0.190826;3.3843502;0.2318993;1.2504872;0.4762404;0.3297856;0.3239394;0.3005546;F;Trisomic-No_aprendizaje
0.5745548;0.7148681;0.2789101;2.0268183;3.2812701;0.2008153;0.1660588;1.895516;0.2063935;1.4956018;0.6758206;0.2561682;0.3007938;0.2426518;M;Trisomic-Aprendizaje
0.2616448;0.4639738;0.4017467;2.5396652;4.0975255;0.3922853;0.3129549;3.7594614;0.294032;1.8009461;0.3067686;0.4690684;0.3777293;0.4217613;M;Trisomic-No_aprendizaje
0.8806985;1.0653873;0.3397299;2.3084577;4.3638948;0.1769723;0.1560565;1.8752158;0.2123058;2.1724033;1.4371002;0.2777947;0.2673368;0.2231699;F;Trisomic-Aprendizaje
0.3162162;0.4948403;0.302457;2.27543;3.3226044;0.2498772;0.2031941;2.6579853;0.2515971;1.4572482;0.4186732;0.3226044;0.2717445;0.3208845;F;Control-No_aprendizaje
0.257122;0.458729;0.3356465;2.477721;3.8071585;0.4346238;0.2308254;3.7326516;0.3024105;1.6329438;0.3097151;0.4934259;0.3564646;0.4382761;M;Trisomic-No_aprendizaje
0.2089411;0.4288691;0.2871756;2.4595567;3.8787649;0.2487213;0.1886721;2.5322978;0.2127297;1.3955295;0.3082023;0.3233567;0.2623603;0.2814927;F;Control-No_aprendizaje
0.5554896;0.7131553;0.3171118;2.1509397;3.6296736;0.2551929;0.1885262;6.1163205;0.2039565;1.4237389;0.6332344;0.3127596;0.4087043;0.2720079;M;Trisomic-Aprendizaje
0.6275817;0.954187;0.4469583;2.9307172;5.9150394;0.1978971;0.1855989;1.7651145;0.2322569;1.8081112;1.0228126;0.3486669;0.3482914;0.2459632;M;Control-Aprendizaje
0.6418719;0.8591133;0.3279803;2.6526108;4.2015764;0.1902463;0.1597044;2.5158621;0.2064039;1.5818719;0.7210837;0.2341872;0.3270936;0.2409852;M;Trisomic-Aprendizaje
0.5381252;0.7023435;0.3350822;2.2378454;3.8279119;0.2453655;0.2170339;4.7609304;0.2018188;1.5683806;0.779993;0.3522211;0.3382302;0.3009794;M;Control-Aprendizaje
0.3222912;0.5961666;0.2961445;2.4392865;3.8954133;0.2385331;0.1875692;4.269887;0.2414137;1.1217594;0.3378019;0.3374695;0.292156;0.2856193;M;Trisomic-No_aprendizaje
0.3181665;0.5282126;0.2910238;2.4215565;4.7872508;0.2052033;0.1656718;6.2532943;0.1984458;1.3030747;0.3997072;0.3504899;0.3045388;0.2931636;M;Control-No_aprendizaje
0.3020907;0.579022;0.394224;2.6518427;5.6034727;0.3121899;0.2478738;4.0359674;0.2714387;1.6401488;0.3318568;0.4023742;0.3545358;0.3687101;M;Trisomic-No_aprendizaje
0.3334385;0.5143533;0.3164038;2.3170347;3.4518927;0.2359621;0.2012618;2.9550473;0.2154574;1.118612;0.3116719;0.3036278;0.270347;0.3001577;F;Trisomic-No_aprendizaje
0.5988688;0.6902715;0.3497738;2.308371;4.2294118;0.2214932;0.1871041;2.0454751;0.1766968;1.9221719;0.8504525;0.3463801;0.369457;0.2791855;M;Control-Aprendizaje
0.625976;0.8068939;0.3279375;2.2178633;3.5216149;0.2365264;0.190059;2.1035993;0.2081508;1.6610169;0.7577604;0.2698534;0.3134641;0.2624262;M;Trisomic-Aprendizaje
0.3156945;0.6136748;0.3017037;2.4901275;4.046711;0.2426943;0.19226;4.3000113;0.239648;1.2298319;0.3489789;0.341645;0.298206;0.2890669;M;Trisomic-No_aprendizaje
0.2643275;0.4446784;0.2877193;2.12;3.2631579;0.2411696;0.1904094;2.4376608;0.1983626;1.2184795;0.2750877;0.3078363;0.328655;0.3003509;M;Trisomic-No_aprendizaje
0.272198;0.474163;0.2516376;2.1613901;2.801492;0.2512737;0.1824964;2.5127365;0.2163392;1.0811499;0.2703785;0.2851164;0.249818;0.2525473;F;Trisomic-No_aprendizaje
0.6495902;0.7289959;0.3168545;2.4862961;3.8666752;0.2009477;0.1862193;2.5293289;0.2128586;1.494749;0.6484375;0.2488473;0.338499;0.2459016;M;Trisomic-Aprendizaje
0.7134255;0.8053078;0.2658341;1.8603925;2.8220339;0.205843;0.1603479;1.8755575;0.1944692;1.7609277;1.0060214;0.2591436;0.2584746;0.2301517;F;Trisomic-Aprendizaje
0.4184011;0.5353485;0.2793195;1.9098117;2.6866535;0.1904526;0.1595639;1.7910472;0.1830195;1.1873142;0.453254;0.2162207;0.2666006;0.2208457;M;Trisomic-Aprendizaje
0.2319245;0.4102518;0.2654676;2.3868705;4.5524281;0.2165468;0.1589928;5.4973022;0.2020683;1;0.3283273;0.342536;0.2808453;0.267446;M;Control-No_aprendizaje
0.3129934;0.4809046;0.2914444;2.0032003;3.0394709;0.262428;0.2046085;3.9699168;0.2063153;1.118626;0.3554512;0.296565;0.3336889;0.269042;F;Trisomic-No_aprendizaje
0.554878;0.7485558;0.2719833;2.1442555;3.671534;0.1830873;0.1453787;1.8512516;0.1667202;1.5821566;0.7485558;0.2698973;0.2573813;0.2049101;F;Trisomic-Aprendizaje
0.4314786;0.5607934;0.3464709;2.0316847;3.5950541;0.321999;0.2277177;3.6877898;0.2120041;1.7367336;0.6398764;0.3776404;0.3863988;0.3310149;F;Control-Aprendizaje
0.3766946;0.5342156;0.2953518;1.9967721;2.9909619;0.2866365;0.1894771;2.5296966;0.2162686;1.5251775;0.5100065;0.3289219;0.3185926;0.3305358;F;Trisomic-Aprendizaje
0.5789806;0.7226201;0.3306655;2.3751053;4.2093513;0.2727464;0.2053496;6.3618366;0.2064027;1.6417439;0.6693345;0.3249789;0.4208088;0.3041281;M;Trisomic-Aprendizaje
0.715018;0.9259541;0.3389026;2.3734574;3.5568635;0.2508069;0.1947978;5.5449022;0.2230871;1.5990127;0.9360167;0.3278906;0.4207329;0.2711221;M;Trisomic-Aprendizaje
0.262957;0.4029731;0.2957011;2.1480514;2.9234632;0.1884291;0.164323;2.6271595;0.1858176;1.1291683;0.3101647;0.2615508;0.2430695;0.223182;F;Control-No_aprendizaje
0.3162439;0.6154884;0.3640043;2.5655693;3.6772801;0.3281166;0.2317863;4.5089045;0.2579601;1.4813815;0.3491635;0.374258;0.3297356;0.3526713;M;Trisomic-No_aprendizaje
0.5237603;0.7462121;0.3248967;2.2856405;4.3223141;0.2687672;0.1943871;2.6482438;0.1988636;1.6849174;0.8292011;0.3514118;0.3164601;0.2846074;F;Trisomic-Aprendizaje
0.6115088;0.9311282;0.3862256;2.7219755;4.7575895;0.2101495;0.175623;2.9532397;0.2399638;1.6650657;0.7505211;0.3248754;0.3378342;0.2734934;F;Trisomic-Aprendizaje
0.3016584;0.611385;0.3216047;2.4303003;4.0853877;0.3177947;0.2102196;4.4188705;0.2252353;1.3404303;0.3500672;0.3561183;0.3249664;0.3220529;M;Trisomic-No_aprendizaje
0.5955679;0.7907858;0.3191427;2.2439131;4.1541041;0.2132964;0.1788891;6.0434466;0.1946348;1.7286777;0.6229771;0.3022306;0.3660884;0.2646158;M;Trisomic-Aprendizaje
0.6185513;0.8697238;0.3508338;2.7055758;4.2257686;0.2569046;0.1917665;3.8552632;0.2080511;1.7701928;0.8237363;0.3430172;0.4172746;0.3082335;M;Control-Aprendizaje
0.3394552;0.5534461;0.278993;2.3887742;3.66591;0.269707;0.180974;4.8615353;0.2399917;1.5319851;0.4007429;0.3623607;0.2659926;0.3037557;M;Trisomic-No_aprendizaje
0.5242516;0.8938992;0.3732474;2.5573134;4.3318492;0.2097385;0.1657825;2.4172982;0.228022;1.5958696;0.6649299;0.3447329;0.3519326;0.2674308;F;Trisomic-Aprendizaje
0.2071429;0.3738095;0.2764286;2.082619;2.7335714;0.2954762;0.192619;3.0152381;0.2745238;1.0261905;0.1897619;0.3038095;0.2797619;0.3002381;F;Trisomic-No_aprendizaje
0.3778463;0.5556214;0.3151091;2.220944;4.8870968;0.1948529;0.1583254;3.391129;0.1795541;1.2478653;0.6431452;0.3187856;0.2830882;0.2518975;M;Control-Aprendizaje
0.4458384;0.719069;0.4190171;2.8592317;5.3210763;0.229538;0.1712234;3.5184288;0.2241737;1.502336;0.5047586;0.321682;0.3979062;0.2906212;F;Control-Aprendizaje
0.5148546;0.5647914;0.3160556;1.9570164;2.9788243;0.2506321;0.1750948;1.4873578;0.1621365;1.6785714;0.6861568;0.3002528;0.3280657;0.2680152;M;Control-Aprendizaje
0.4249894;0.6796997;0.2919677;2.2415356;4.3436747;0.2205695;0.1623459;5.0566653;0.1844454;1.3575577;0.4681966;0.3684658;0.2895594;0.2605185;M;Trisomic-No_aprendizaje
0.2919854;0.40572;0.2993016;2.1183904;2.9876954;0.2514134;0.1958763;2.9165281;0.2015298;1.3155969;0.3302295;0.3022946;0.310276;0.2993016;F;Control-No_aprendizaje
0.527894;0.6345886;0.335251;2.3561715;5.0591004;0.2501743;0.2031032;3.7611576;0.2346583;1.54341;0.8045676;0.3310669;0.3247908;0.3061367;F;Control-Aprendizaje
0.9576872;1.097645;0.3232816;2.4248516;3.8161019;0.1745166;0.1408195;2.5061267;0.2042887;2.1878231;1.2142447;0.2276469;0.2827877;0.2275512;M;Trisomic-Aprendizaje
0.4371886;0.569368;0.2905848;2.1977446;3.8738526;0.2331498;0.1681091;1.8295306;0.190139;1.6205088;0.650931;0.281668;0.2856019;0.2431157;F;Control-Aprendizaje
0.6461101;0.9362971;0.3481973;2.3784223;3.9727568;0.2235023;0.1648143;2.4434806;0.2111683;1.5936568;0.8198699;0.2812415;0.3280022;0.2672811;M;Trisomic-Aprendizaje
0.3799452;0.5045045;0.3029769;2.0628672;4.1284763;0.2420682;0.1799843;3.6980024;0.1809636;1.1991774;0.5119467;0.3354877;0.2927928;0.2534273;M;Control-Aprendizaje
0.3821947;0.6034567;0.3834991;2.4708952;4.5522583;0.2890918;0.2018588;6.3817055;0.2447416;1.401761;0.426708;0.3639328;0.4167618;0.3446926;F;Trisomic-No_aprendizaje
0.8246377;1.0049919;0.2687601;2.1014493;3.2703704;0.1874396;0.1500805;2.1871176;0.2;2.0217391;1.1404187;0.2570048;0.2531401;0.2190016;F;Trisomic-Aprendizaje
0.4812726;0.6841155;0.3607852;2.5388087;5.0081227;0.2872292;0.2245036;2.5769404;0.1992329;1.7991877;0.7565433;0.3689079;0.3650722;0.3102437;M;Control-Aprendizaje
0.2754884;0.4698417;0.3174105;2.4574362;4.0089833;0.2389847;0.1788108;3.1943533;0.2009126;1.3124198;0.3425068;0.2890347;0.2854698;0.2669328;F;Control-No_aprendizaje
0.7434087;1.0254237;0.3933145;2.8026365;4.7707156;0.2431262;0.1808851;4.0977401;0.2469868;1.8838041;1.0645951;0.3393597;0.4263653;0.3094162;M;Control-Aprendizaje
0.2798773;0.4103682;0.2795543;2.2382106;4.0600775;0.2036499;0.186208;5.0828488;0.1918605;1.3187985;0.3593346;0.315084;0.2948966;0.252261;M;Control-No_aprendizaje
0.3773878;0.6306113;0.3909981;2.6664279;5.1018386;0.2443887;0.1766953;3.27149;0.1948424;1.5315186;0.4369628;0.3209169;0.4015043;0.294532;F;Control-Aprendizaje
0.6197206;0.7392003;0.3285691;2.4931749;3.9805685;0.2590332;0.1827525;3.6009314;0.2082865;1.672555;0.7486751;0.3292115;0.3814036;0.3030352;M;Control-Aprendizaje
0.4170487;0.65415;0.311226;2.4910758;4.1727299;0.1976007;0.1576124;2.8782795;0.2052082;1.1546864;0.5258949;0.2677265;0.3537501;0.2428558;F;Control-Aprendizaje
0.3271309;0.517407;0.3172269;2.2169868;3.1677671;0.3223289;0.19988;4.3508403;0.2469988;1.652461;0.3856543;0.3778511;0.2986194;0.3505402;M;Trisomic-No_aprendizaje
0.4883721;0.5400857;0.2913097;1.9134027;2.873623;0.2154223;0.2105263;1.4149327;0.1624847;1.6894125;0.6857405;0.3014076;0.3096695;0.2432681;M;Control-Aprendizaje
0.2506103;0.4098183;0.3178736;1.9685381;2.7914293;0.2256577;0.2058584;2.0908598;0.1795498;1.3921888;0.2820721;0.3056686;0.2945484;0.2752916;M;Trisomic-No_aprendizaje
0.1643295;0.2905346;0.2123868;1.6704645;2.8196027;0.1701724;0.1339468;3.7389717;0.1352615;0.8791995;0.2515337;0.2690622;0.2366345;0.2115104;M;Control-No_aprendizaje
0.3471398;0.6036046;0.3118773;2.356879;4.7195791;0.2351953;0.1821337;3.7847308;0.2434792;1.2786298;0.3331468;0.3476995;0.3304601;0.2987798;M;Trisomic-No_aprendizaje
0.295302;0.4519988;0.2786694;1.7084914;2.3414065;0.2103881;0.1817917;2.8339656;0.168077;1.1225562;0.3297345;0.2696236;0.2594106;0.2334403;M;Control-No_aprendizaje
0.3449295;0.6261937;0.3835834;2.5345612;4.097317;0.3035471;0.2228286;4.5927694;0.239427;1.3601637;0.3394725;0.3601637;0.3337881;0.3353797;M;Trisomic-No_aprendizaje
0.361477;0.5678643;0.2730539;1.8451098;3.3101796;0.2145709;0.158483;4.0844311;0.1612774;1.2499002;0.4147705;0.2834331;0.2660679;0.2423154;M;Trisomic-No_aprendizaje
0.2689036;0.4737713;0.3034026;2.1086957;3.1840737;0.2733932;0.2046314;2.8556238;0.229206;1.418242;0.3308129;0.3310491;0.3128544;0.3060019;M;Trisomic-No_aprendizaje
0.956488;1.1084407;0.3840488;2.6625642;4.6063572;0.2037988;0.1716252;2.3119488;0.2536098;2.0976839;1.1200698;0.2734761;0.3411183;0.2696967;M;Trisomic-Aprendizaje
0.4291326;0.5631751;0.2584288;2.0281506;3.5425532;0.2140753;0.1767594;3.1651391;0.1674304;1.2176759;0.5792144;0.300491;0.3155483;0.2865794;M;Control-Aprendizaje
0.3453461;0.4844869;0.2747017;1.8768496;2.6818616;0.1973747;0.1837709;3.2933174;0.1727924;1.1778043;0.3684964;0.2825776;0.2632458;0.2420048;M;Control-No_aprendizaje
0.2875893;0.4816975;0.3234651;2.4751349;4.3497156;0.231734;0.1803996;3.3034855;0.221963;1.2412134;0.3510281;0.2983812;0.289631;0.2751932;F;Control-No_aprendizaje
0.2548604;0.4635914;0.2548604;2.092082;2.6000353;0.2117356;0.1712619;2.4837398;0.2073171;1.057971;0.2656416;0.2940969;0.2499116;0.261223;F;Trisomic-No_aprendizaje
0.3925899;0.521628;0.2898339;1.7922979;2.3597372;0.218288;0.1690089;3.2929367;0.1993064;1.1708341;0.5289286;0.3071728;0.3374703;0.2659244;F;Trisomic-Aprendizaje
0.2450726;0.3558091;0.2645228;2.0018154;2.5199689;0.2261411;0.1849066;2.2072095;0.1779046;1.5892116;0.2881224;0.2424793;0.2603734;0.2341805;F;Control-No_aprendizaje
0.4069195;0.5202349;0.2491668;1.7995556;2.3586732;0.176956;0.1521981;1.7246469;0.1791779;1.1556896;0.4805586;0.2029837;0.2540867;0.2236153;M;Trisomic-Aprendizaje
0.7020039;0.8453782;0.2698125;1.9622495;2.8395604;0.1750485;0.1300582;1.9968972;0.1590175;1.5957337;0.7626374;0.1868132;0.2483516;0.1997414;M;Trisomic-Aprendizaje
0.292091;0.419935;0.2994583;2.2916576;3.671506;0.2706392;0.1969664;6.0487541;0.2134345;1.2305525;0.3995666;0.3915493;0.3009751;0.3089924;M;Control-No_aprendizaje
0.2837209;0.5590971;0.2839945;2.3212038;3.6850889;0.2426813;0.1781122;4.0374829;0.2352941;1.1086183;0.3213406;0.325171;0.2864569;0.278933;M;Trisomic-No_aprendizaje
0.2095214;0.461939;0.2940739;2.1009174;2.6077362;0.2873791;0.206298;3.3647409;0.244483;1.1919167;0.2303496;0.3431689;0.2757253;0.3032482;M;Trisomic-No_aprendizaje
0.3495072;0.5617892;0.2928987;2.2784938;3.5542077;0.2893606;0.2112712;4.6039929;0.233763;1.4521102;0.4202679;0.3762952;0.2754612;0.3424311;M;Trisomic-No_aprendizaje
0.3897274;0.6477605;0.3979228;2.7553554;4.8808828;0.1249594;0.12358;2.8995456;0.2105648;1.126988;0.7461863;0.1922266;0.3778806;0.193038;F;Control-Aprendizaje
0.3426993;0.5846461;0.3939572;3.164237;5.9197037;0.2660475;0.2042088;4.2793322;0.2649894;1.3704444;0.3737362;0.3756172;0.3323536;0.3288267;F;Control-No_aprendizaje
0.2299601;0.3936005;0.2537644;2.0515943;3.4580381;0.1986271;0.1557795;3.6905447;0.2063773;0.9567095;0.2496678;0.2631754;0.2537644;0.2266386;F;Control-No_aprendizaje
0.3665684;0.5512443;0.3307138;2.5442043;4.5034381;0.2342829;0.1920432;3.1629011;0.2066143;1.4531762;0.4435167;0.3403733;0.287983;0.3010806;F;Control-No_aprendizaje
0.3531434;0.5956314;0.2615589;2.0551059;3.0705178;0.1979155;0.15423;3.046014;0.1986917;0.9664043;0.3300809;0.2704291;0.2577891;0.229959;F;Trisomic-No_aprendizaje
0.4749263;0.6010892;0.2421148;1.7910143;2.7492625;0.2028591;0.1454504;1.3439982;0.1454504;1.5765827;0.5981393;0.2189698;0.2325845;0.1971863;F;Trisomic-Aprendizaje
0.2908596;0.465345;0.3064467;2.4434019;3.5520581;0.1938559;0.1575363;3.1961259;0.2123184;6.1133475;0.3270278;0.2795097;0.2555993;0.2315375;F;Control-No_aprendizaje
0.3894349;0.6583948;0.4104832;2.8167076;4.9834562;0.1291564;0.1391482;2.9185094;0.212285;1.1601966;0.7248976;0.1744472;0.3782146;0.1635545;F;Control-Aprendizaje
0.4881485;0.8672636;0.4385041;3.1747432;4.1583487;0.2057545;0.2028575;2.5229787;0.294838;1.4410719;0.8847775;0.3774691;0.4076903;0.3078746;F;Control-Aprendizaje
0.7547285;0.8755339;0.2664226;1.9684767;2.9719341;0.195241;0.1675819;2.1305674;0.2072402;1.8911938;1.0687411;0.2639821;0.2664226;0.2416107;F;Trisomic-Aprendizaje
0.3787;0.7386174;0.3188121;2.4268856;4.0702134;0.2190973;0.1658964;3.6229718;0.2464352;1.1173173;0.3866654;0.3133051;0.2984561;0.2761333;F;Trisomic-No_aprendizaje
